trajectory,x,y
60 mg/m2,4.868154158215014,15.459277364194785
60 mg/m2,5.070993914807301,53.66976945540476
60 mg/m2,5.37525354969574,148.3102514336106
60 mg/m2,6.186612576064907,95.93608287093141
60 mg/m2,7.302231237322514,50.431594871713585
60 mg/m2,8.113590263691687,28.21307675939472
60 mg/m2,9.026369168357002,21.99593068030075
60 mg/m2,10.141987829614608,15.783314056521165
60 mg/m2,11.764705882352942,11.56280131207376
60 mg/m2,13.691683569979721,9.999999999999993
60 mg/m2,26.26774847870183,5.7115864781264305
60 mg/m2,35.598377281947265,3.6187498124112794
60 mg/m2,48.37728194726167,3.6187498124112794
180 mg/m2,4.868154158215014,44.529585099426576
180 mg/m2,5.578093306288034,445.295850994266
180 mg/m2,6.389452332657201,259.6655972934872
180 mg/m2,7.200811359026375,145.26539259467827
180 mg/m2,8.113590263691687,84.70868266557407
180 mg/m2,9.33062880324544,55.94325706169381
180 mg/m2,10.040567951318462,36.946012051993044
180 mg/m2,11.866125760649087,29.408201705870653
180 mg/m2,13.590263691683576,26.510836019085374
180 mg/m2,26.26774847870183,16.79674872092653
180 mg/m2,35.496957403651116,11.56280131207376
180 mg/m2,48.37728194726167,8.829699955494089
360 mg/m2,4.66531440162272,224.56979955397762
360 mg/m2,5.273833671399594,536.6976945540482
360 mg/m2,6.490872210953347,333.0600343624592
360 mg/m2,7.403651115618661,229.27693128656512
360 mg/m2,8.113590263691687,120.52609368708426
360 mg/m2,9.229208924949294,77.96360130405233
360 mg/m2,10.040567951318462,55.94325706169381
360 mg/m2,11.764705882352942,63.35804992658251
360 mg/m2,13.691683569979721,47.38879609717658
360 mg/m2,26.47058823529412,23.898925662310514
360 mg/m2,35.39553752535497,18.632463119315606
360 mg/m2,48.478701825557806,11.092898648952227
